genero_etiqueta,Time,Location_encoded,Zone_encoded,Habitat_encoded,Cranial_Capacity,Height,Incisor_Size_encoded,Jaw_Shape_encoded,Torus_Supraorbital_encoded,Prognathism_encoded,Foramen_encoded,Canine_Size_encoded,Canines_Shape_encoded,Tooth_Enamel_encoded,Tecno_encoded,tecno_type_mapping_encoded,Biped_encoded,foots_encoded,Diet_encoded,Sexual_Dimorphism_encoded,Hip_encoded,Vertical_Front_encoded,Anatomy_encoded,Migrated_encoded,genero_etiqueta_num,genero_especie_num
Homininos,6.04112375,0,1,1,144.5141,110.24323,2,4,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1
Homininos,4.38390951,0,1,2,293.96021,107.69018,2,4,1,1,1,1,0,1,0,0,1,0,2,1,1,0,0,0,0,2
Australopithecus,3.74941258,0,1,2,264.79849,123.76644,4,3,1,1,2,0,1,0,0,0,2,1,4,0,0,0,0,0,1,5
Australopithecus,4.59560572,0,1,1,403.28047,111.40831,4,3,1,1,2,0,1,0,0,0,2,0,4,0,1,0,1,0,1,4
Australopithecus,3.61405951,0,2,1,679.15233,111.59004,2,4,1,2,2,1,1,0,0,0,2,0,4,0,1,1,0,0,1,7
Homo tardío,0.67944746,0,1,3,1155.28124,144.77589,4,3,2,2,3,0,1,1,2,3,3,1,1,1,0,1,1,0,4,22
Australopithecus,3.78897752,0,1,2,305.31366,138.47796,4,3,1,1,2,0,1,0,0,0,2,1,4,0,0,0,0,0,1,5
Homininos,7.55196675,0,0,2,258.04823,91.23118,2,4,1,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0
Homo tardío,0.54732593,2,0,1,1156.08025,158.10385,4,2,3,4,3,1,1,2,2,4,3,1,0,1,3,2,3,0,4,23
Australopithecus,4.1809143,0,1,1,460.06068,117.35674,4,3,1,1,2,0,1,0,0,0,2,0,4,0,1,0,1,0,1,4
Australopithecus,4.05812009,0,1,1,361.84781,127.55925,4,3,1,1,2,0,1,0,0,0,2,0,4,0,1,0,1,0,1,4
Paranthropus,2.83307459,0,1,0,486.44422,112.40066,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,10
Homo temprano,1.90240596,1,3,3,1105.33236,163.81038,1,2,3,4,3,1,1,0,2,2,3,1,1,1,2,2,2,1,3,17
Otros,0.56750766,0,2,1,213.13723,133.15602,4,3,3,2,3,1,1,1,0,0,3,1,1,1,1,0,1,0,5,18
Otros,0.12840038,1,1,0,254.05276,103.04389,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,5,19
Australopithecus,4.76575794,0,1,1,200.4168,122.90488,4,3,1,1,2,0,1,0,0,0,2,0,4,0,1,0,1,0,1,4
Paranthropus,2.17379087,0,1,1,490.06908,103.81584,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,12
Homininos,4.54700909,0,1,2,266.73577,107.8513,2,4,1,1,1,1,0,1,0,0,1,0,2,1,1,0,0,0,0,2
Homo temprano,2.44722342,0,1,3,753.94022,127.30092,2,3,2,2,2,0,0,0,0,0,2,1,3,0,0,0,1,0,3,14
